id	func	name_text_left	img_left	name_text_right	img_right	dia_text
type	String	String	String	String	String	String
note	"功能选择,dia为对话,其他待定"	左边的角色名字	左边的角色头像	右边的角色名字	右边的角色头像	对话内容
default	dia	none	none	none	none	none
1	dia	大祭司	big_head_9			这枚碎片也是一样，里面包含了浓烈的黑暗力量，几乎已经被污染了
2	dia			圣女	big_head_2	有办法可以让它恢复原来的样子吗？
3	dia	大祭司	big_head_9			这种魔力非常强大，我们并不能祛除，不过也不是完全没有办法。
4	dia	大祭司	big_head_9			幽魂的魔晶天生就亲和黑暗魔力，并且具有强大的吸附能力，利用这个魔晶，应该可以将这种污染圣光之眼碎片的黑暗力量吸引出来。
5	dia			教官	big_head_7	嗯。。。正好听到部下有汇报，在西边的一处遗迹发现过幽魂的踪迹，不过被大批魔族保护着。
6	dia	大祭司	big_head_9			最少需要3块幽魂的魔晶。
7	dia			教官	big_head_7	去吧菜鸟，考验你的时候到了，记得更换适合的装备哦。
