id	func	name_text_left	img_left	name_text_right	img_right	dia_text
type	String	String	String	String	String	String
note	功能选择,dia为对话,其他待定	左边的角色名字	左边的角色头像	右边的角色名字	右边的角色头像	对话内容
default	dia	none	none	none	none	none
1	dia			魅魔	big_head_13	老朋友来啦！这场好戏可以开场了...
2	dia			魅魔	big_head_13	下面有请我的新奴隶登场...
3	dia			教官	big_head_1	摧毁一切，摧毁一切...
4	dia			魅魔	big_head_13	哈哈哈~怎么样！我的新奴隶很棒吧！
5	dia			player	big_head_5|big_head_6	教官你怎么了，快醒醒，别受魅魔的控制！
6	dia			魅魔	big_head_13	哈哈哈~真是天真，你叫醒他算我输怎么样！
7	dia			player	big_head_5|big_head_6	教官我一定会带您回去的！
