id	func	name_text_left	img_left	name_text_right	img_right	dia_text
type	String	String	String	String	String	String
note	功能选择,dia为对话,其他待定	左边的角色名字	左边的角色头像	右边的角色名字	右边的角色头像	对话内容
default	dia	none	none	none	none	none
1	dia			魅魔	big_head_13	哟哟哟！我们好像有客人到了！
2	dia			player	big_head_5|big_head_6	好不容易找到这里，我不可想只是做客这么简单！
3	dia			魅魔	big_head_13	是吗？那你除了做客还想做点什么呢...
4	dia			player	big_head_5|big_head_6	让你和巫妖一样被永远的消失！
5	dia			魅魔	big_head_13	哈哈哈！真是勇气可嘉...不过被看成和巫妖那种废物一样，我会很苦恼的！
6	dia			player	big_head_5|big_head_6	那么就只能让你看看我的实力了！
7	dia			魅魔	big_head_13	但是美丽的我不喜欢被人打扰...出来吧！我的大宝贝们，陪我们的客人好好玩玩！
